timestamp,station_id,data_source,wind_speed_mps,wind_dir_deg,air_temperature_C,air_pressure_hPa,humidity_percent,air_density_kgm3,wind_speed_hub_mps,turbine_power_kW,farm_power_kW,farm_energy_kWh_10min,farm_energy_MWh_10min
2025-10-23 16:35:41.496095,WBWF,API,1.44,294,24.62,1013,38,1.185,1.99,0,0,0.0,0.0
2025-10-23 16:35:41.502788,WBWF,API,1.44,294,24.62,1013,38,1.185,1.99,0,0,0.0,0.0
2025-10-23 16:35:43.873880,GZWF,API,1.6,262,25.89,1013,21,1.18,2.21,0,0,0.0,0.0
2025-10-23 16:35:43.883457,GZWF,API,1.6,262,25.89,1013,21,1.18,2.21,0,0,0.0,0.0
2025-10-23 16:35:44.107538,ZFWF,API,2.06,231,22.48,1015,32,1.196,2.84,0,0,0.0,0.0
2025-10-23 16:35:44.116697,ZFWF,API,2.06,231,22.48,1015,32,1.196,2.84,0,0,0.0,0.0
2025-10-23 16:35:44.196173,WBWF,PREDICTION,1.31,294,24.62,1013,38,1.185,1.81,0,0,0.0,0.0
2025-10-23 16:35:44.202896,WBWF,PREDICTION,1.31,294,24.62,1013,38,1.185,1.81,0,0,0.0,0.0
2025-10-23 16:35:44.272428,GZWF,PREDICTION,1.41,262,25.89,1013,21,1.18,1.95,0,0,0.0,0.0
2025-10-23 16:35:44.277297,GZWF,PREDICTION,1.41,262,25.89,1013,21,1.18,1.95,0,0,0.0,0.0
2025-10-23 16:35:44.346486,ZFWF,PREDICTION,1.98,231,22.48,1015,32,1.196,2.74,0,0,0.0,0.0
2025-10-23 16:35:44.350541,ZFWF,PREDICTION,1.98,231,22.48,1015,32,1.196,2.74,0,0,0.0,0.0
2025-10-23 16:35:58.728175,WBWF,PREDICTION,1.58,294,24.62,1013,38,1.185,2.18,0,0,0.0,0.0
2025-10-23 16:35:58.728535,WBWF,PREDICTION,1.58,294,24.62,1013,38,1.185,2.18,0,0,0.0,0.0
2025-10-23 16:36:00.372318,GZWF,PREDICTION,1.45,262,25.89,1013,21,1.18,2.0,0,0,0.0,0.0
2025-10-23 16:36:00.418500,GZWF,PREDICTION,1.45,262,25.89,1013,21,1.18,2.0,0,0,0.0,0.0
2025-10-23 16:36:00.444675,ZFWF,PREDICTION,2.33,231,22.48,1015,32,1.196,3.22,42.16,2107.85,351.308,0.351308
2025-10-23 16:36:00.497679,ZFWF,PREDICTION,2.33,231,22.48,1015,32,1.196,3.22,42.16,2107.85,351.308,0.351308
2025-10-23 16:36:03.735549,WBWF,PREDICTION,1.38,294,24.62,1013,38,1.185,1.9,0,0,0.0,0.0
2025-10-23 16:36:05.401820,GZWF,PREDICTION,1.45,262,25.89,1013,21,1.18,2.0,0,0,0.0,0.0
2025-10-23 16:36:05.531245,ZFWF,PREDICTION,2.33,231,22.48,1015,32,1.196,3.22,42.16,2107.85,351.308,0.351308
2025-10-23 16:36:08.717635,WBWF,PREDICTION,1.38,294,24.62,1013,38,1.185,1.9,0,0,0.0,0.0
2025-10-23 16:36:10.360099,GZWF,PREDICTION,1.78,262,25.89,1013,21,1.18,2.46,0,0,0.0,0.0
2025-10-23 16:36:10.435271,ZFWF,PREDICTION,1.8,231,22.48,1015,32,1.196,2.48,0,0,0.0,0.0
2025-10-23 16:36:13.726479,WBWF,PREDICTION,1.44,294,24.62,1013,38,1.185,1.99,0,0,0.0,0.0
2025-10-23 16:36:13.730840,WBWF,PREDICTION,1.44,294,24.62,1013,38,1.185,1.99,0,0,0.0,0.0
2025-10-23 16:36:15.493740,GZWF,PREDICTION,1.78,262,25.89,1013,21,1.18,2.46,0,0,0.0,0.0
2025-10-23 16:36:15.499565,GZWF,PREDICTION,1.78,262,25.89,1013,21,1.18,2.46,0,0,0.0,0.0
2025-10-23 16:36:15.569562,ZFWF,PREDICTION,1.8,231,22.48,1015,32,1.196,2.48,0,0,0.0,0.0
2025-10-23 16:36:15.576454,ZFWF,PREDICTION,1.8,231,22.48,1015,32,1.196,2.48,0,0,0.0,0.0
2025-10-23 16:36:18.731822,WBWF,PREDICTION,1.44,294,24.62,1013,38,1.185,1.99,0,0,0.0,0.0
2025-10-23 16:36:20.417247,GZWF,PREDICTION,1.5,262,25.89,1013,21,1.18,2.07,0,0,0.0,0.0
2025-10-23 16:36:20.492041,ZFWF,PREDICTION,2.24,231,22.48,1015,32,1.196,3.1,37.52,1876.18,312.696,0.312696
